n_updates,time_elapsed,approxkl,policy_entropy,ep_len_mean,value_loss,explained_variance,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,clipfrac
38,3324.335663318634,0.003504452,12.452443,834.0,5.141806e-06,0.7963982969522476,380000,413,-0.0022441799999999997,-0.0012433152,1900000,0.025515001
39,3445.3772127628326,0.0050505917,12.443173,834.0,3.804896e-05,0.5664561688899994,390000,421,0.03279455999999999,-0.0010896072,1950000,0.0549
40,3564.058411359787,0.0034104004,12.435108,834.0,5.791367e-06,0.8168028742074966,400000,315,0.037210219999999995,-0.0010806732,2000000,0.020854998
41,3722.6106469631195,0.004392058,12.427685,834.0,1.2975759e-05,0.815200075507164,410000,432,0.0023889099999999997,-0.0010171552,2050000,0.042474996
42,3838.160645723343,0.0057574324,12.420548,834.0,8.990163e-05,0.43960893154144287,420000,410,0.04810353,-0.00075122836,2100000,0.066585
43,3960.090934276581,0.003788103,12.413683,834.0,5.615169e-06,0.801661878824234,430000,406,-0.00198912,-0.0013485602,2150000,0.029310001
44,4083.136750459671,0.0034453638,12.409445,834.0,5.140432e-06,0.8478868454694748,440000,463,0.0013274400000000005,-0.00073200447,2200000,0.024455
45,4191.070042848587,0.0039666677,12.403477,834.0,3.316545e-05,0.5722769200801849,450000,443,0.03257919,-0.00046763787,2250000,0.038970005
46,4303.822722196579,0.0034524528,12.399397,834.0,5.51905e-06,0.8419332504272461,460000,482,0.02908901,-0.0012125862,2300000,0.023945
47,4407.4508101940155,0.004359786,12.393746,834.0,0.00026912885,0.342559278011322,470000,516,0.13335028,-0.0008920553,2350000,0.040115
48,4504.311811923981,0.0070515047,12.385539,834.0,0.00013336695,0.27976346015930176,480000,480,0.18492256,-0.0002707205,2400000,0.094745
49,4608.441407442093,0.0043362724,12.37972,834.0,1.6556955e-05,0.7344869077205658,490000,491,0.07520047999999999,-0.0005512463,2450000,0.04154
