fps,ent_coef_loss,episodes,ep_rewmean,ent_coef,qf1_loss,qf2_loss,total timesteps,n_updates,entropy,current_lr,time_elapsed,mean 100 episode reward,policy_loss,value_loss,eplenmean
67,-3.1194434,128,0.011506019999999999,0.0038202896,0.014335314,0.013588382,106752,105753,6.8311853,0.00025,1580,0.0,-4.053434,0.013256047,834.0
67,8.517873,132,0.007124750000000001,0.0033969027,0.018590588,0.013270763,110088,109089,6.265579,0.00025,1638,0.0,-3.9108934,0.01300109,834.0
67,6.917801,136,0.00716333,0.0032294665,0.00777878,0.007085761,113424,112425,6.3481064,0.00025,1684,0.0,-3.6971688,0.0077443086,834.0
67,-5.243911,140,0.010775809999999999,0.0028879372,0.00694124,0.004584433,116760,115761,6.852617,0.00025,1733,0.0,-3.328723,0.0048259986,834.0
67,-3.8163362,144,0.025609820000000002,0.0024512527,0.006538749,0.0049010096,120096,119097,6.010908,0.00025,1782,0.0,-3.2240074,0.0036302335,834.0
67,0.4610951,148,0.02557511,0.0024657564,0.0073470147,0.0054618735,123432,122433,6.601019,0.00025,1836,0.0,-2.8765106,0.0066585704,834.0
67,-0.53955436,152,0.02558496,0.0023453934,0.00519919,0.0061507616,126768,125769,7.398947,0.00025,1879,0.0,-2.7269197,0.005269346,834.0
67,-7.4538627,156,0.04185371,0.0020298008,0.0034335158,0.0034528445,130104,129105,6.4249535,0.00025,1921,0.0,-2.4357426,0.0026747652,834.0
67,-1.0724795,160,0.04185316,0.0021250534,0.0029553133,0.0031858482,133440,132441,6.273799,0.00025,1969,0.0,-2.9709768,0.0069582807,834.0
67,-0.6800933,164,0.041892120000000005,0.0019379099,0.0026717233,0.0017550554,136776,135777,6.5222964,0.00025,2016,0.0,-2.570923,0.0028236695,834.0
67,-11.94314,168,0.041957440000000006,0.0017706854,0.002443052,0.002519958,140112,139113,6.322527,0.00025,2066,0.0,-2.5707774,0.005244024,834.0
67,7.1113257,172,0.052535069999999996,0.0017075496,0.0022472544,0.0014846162,143448,142449,6.5220795,0.00025,2116,0.1,-1.957212,0.0020290976,834.0
67,5.8573956,176,0.05255931999999999,0.0016604863,0.002091363,0.0016269258,146784,145785,6.7665796,0.00025,2171,0.1,-2.0597572,0.0021047904,834.0
67,3.4372425,180,0.05254963000000001,0.0015413925,0.0027214778,0.0041450853,150120,149121,7.251156,0.00025,2217,0.1,-1.7394993,0.00351506,834.0
67,0.9711754,184,0.05382032999999999,0.0013102448,0.020720491,0.019973084,153456,152457,6.7899265,0.00025,2262,0.1,-1.8745301,0.0013097441,834.0
67,11.850294,188,0.05379626,0.0011660913,0.0021795817,0.0011828673,156792,155793,5.686864,0.00025,2305,0.1,-1.9903119,0.0026314135,834.0
68,-2.9224548,192,0.05593959,0.0010341819,0.0025718173,0.0018718664,160128,159129,5.9863033,0.00025,2353,0.1,-1.9186095,0.0026716678,834.0
67,6.7053776,196,0.05598902999999999,0.00091730454,0.0015314037,0.0016960225,163464,162465,5.644499,0.00025,2403,0.1,-1.5701153,0.0020613736,834.0
67,-2.465754,200,0.056009430000000006,0.0009106813,0.0019888566,0.0013942607,166800,165801,7.1421905,0.00025,2453,0.1,-1.4967508,0.0021613028,834.0
67,-1.078939,204,0.05600929000000001,0.00083612785,0.0010691336,0.0010605024,170136,169137,6.174377,0.00025,2506,0.1,-1.477187,0.0012810117,834.0
67,9.802313,208,0.05600335,0.0007987611,0.0027914695,0.00330022,173472,172473,6.0757546,0.00025,2552,0.1,-1.5870719,0.0008320365,834.0
68,-1.1735616,212,0.06271697,0.000726508,0.0023745126,0.0017849642,176808,175809,6.0133457,0.00025,2597,0.1,-1.2816516,0.002281725,834.0
68,-3.0252042,216,0.06165361,0.0006679967,0.0030855793,0.0023406378,180144,179145,5.861597,0.00025,2639,0.1,-1.3448865,0.0021881552,834.0
68,3.2039905,220,0.06491973,0.0006565428,0.0008318323,0.000275475,183480,182481,6.9575257,0.00025,2684,0.1,-1.0812427,0.00027181424,834.0
68,2.6682587,224,0.06491587,0.0006049919,0.00079886254,0.0008559738,186816,185817,6.4797864,0.00025,2727,0.1,-1.1844201,0.0013718348,834.0
68,-19.712004,228,0.06490887000000001,0.0006124974,0.0022491962,0.0012208067,190152,189153,7.587682,0.00025,2771,0.1,-0.94751865,0.0032314933,834.0
68,-0.8465394,232,0.06488933999999999,0.00054639345,0.00092076935,0.00081705133,193488,192489,6.8111296,0.00025,2815,0.1,-1.0335317,0.002911006,834.0
68,1.7264845,236,0.0675848,0.00056430046,0.0011358319,0.00088646257,196824,195825,7.620608,0.00025,2859,0.1,-0.85310984,0.00052114355,834.0
