mean 100 episode reward,current_lr,value_loss,time_elapsed,ent_coef_loss,episodes,eplenmean,n_updates,entropy,ent_coef,ep_rewmean,qf1_loss,qf2_loss,total timesteps,policy_loss,fps
-0.0,0.00025,0.00012201523,1699,-1.8777027,136,834.0,112425,5.5465937,0.00031378545,-0.002674460000000001,0.0011175171,0.0010425147,113424,-0.6158107,66
-0.0,0.00025,0.000121410696,1746,-14.300421,140,834.0,115761,5.8858523,0.0002721171,-0.0026740300000000004,4.8042675e-05,6.579465e-05,116760,-0.5475891,66
-0.0,0.00025,0.00021163373,1793,1.4269238,144,834.0,119097,5.9620066,0.00026702113,-0.0027324699999999994,0.0001752457,0.00014481362,120096,-0.53802824,66
-0.0,0.00025,0.0002315242,1842,11.338909,148,834.0,122433,5.6001196,0.0002242237,-0.0027416499999999996,0.00086851727,0.0007860366,123432,-0.45527306,67
-0.0,0.00025,3.330243e-05,1888,2.4450774,152,834.0,125769,6.2460055,0.00020873772,-0.00275397,3.325266e-05,2.8619303e-05,126768,-0.4110824,67
-0.0,0.00025,6.2677784e-05,1935,14.420044,156,834.0,129105,5.705755,0.00019137505,-0.002746609999999999,5.461584e-05,3.8877064e-05,130104,-0.40715757,67
-0.0,0.00025,0.00014513082,1983,-4.9623404,160,834.0,132441,5.9127803,0.00018346266,-0.00233094,5.3817606e-05,3.7770093e-05,133440,-0.34466976,67
-0.0,0.00025,3.6595786e-05,2037,-16.113153,164,834.0,135777,5.6219788,0.00014910886,-0.0023644,4.0283077e-05,4.6029367e-05,136776,-0.30575442,67
-0.0,0.00025,1.5135411e-05,2083,-4.272356,168,834.0,139113,5.9514637,0.00013237869,-0.0022796399999999994,1.8866915e-05,1.8024417e-05,140112,-0.2948757,67
-0.0,0.00025,5.794839e-05,2129,-11.035264,172,834.0,142449,5.7636375,0.000104304636,-0.0012168999999999997,2.7310041e-05,2.2493405e-05,143448,-0.25837663,67
-0.0,0.00025,8.704789e-06,2176,-1.201581,176,834.0,145785,5.3862295,8.45889e-05,-0.00121027,1.1728643e-05,1.02272625e-05,146784,-0.2491337,67
-0.0,0.00025,1.3352759e-05,2225,14.547907,180,834.0,149121,5.570279,6.433129e-05,-0.0012129100000000002,4.999638e-06,6.289168e-06,150120,-0.19342357,67
0.0,0.00025,7.4470195e-06,2312,0.6395912,184,834.0,152457,4.828083,5.2936706e-05,0.020742629999999998,2.468947e-05,7.447946e-06,153456,-0.19394962,66
0.0,0.00025,5.9689146e-06,2367,0.867373,188,834.0,155793,5.200826,4.4303262e-05,0.02075097,4.119809e-06,2.6914743e-06,156792,-0.158871,66
0.0,0.00025,6.572684e-05,2413,-26.897705,192,834.0,159129,5.288728,3.6997844e-05,0.020803400000000007,5.2393516e-05,1.0683127e-05,160128,-0.12614372,66
0.0,0.00025,9.086342e-06,2455,-5.2622914,196,834.0,162465,5.159154,2.757487e-05,0.020754250000000002,1.9723435e-05,1.3208486e-05,163464,-0.10369147,66
0.0,0.00025,3.2002704e-06,2496,-16.9203,200,834.0,165801,5.544997,2.8151739e-05,0.02078529,2.7128813e-06,8.4731425e-07,166800,-0.08812216,66
0.0,0.00025,9.740148e-06,2539,-6.9602504,204,834.0,169137,5.9647837,2.303246e-05,0.02079858,3.2196301e-06,2.1900323e-05,170136,-0.063932374,66
0.0,0.00025,1.5758308e-06,2583,3.8412995,208,834.0,172473,5.769139,1.7839671e-05,0.02086789,1.3700885e-06,3.1261877e-06,173472,-0.04280076,67
0.0,0.00025,1.4859231e-06,2625,-12.743496,212,834.0,175809,6.728286,1.3116844e-05,0.02085729,3.2867724e-06,5.7487165e-07,176808,-0.021589357,67
0.0,0.00025,9.283298e-06,2666,-1.8164611,216,834.0,179145,6.365307,1.1600494e-05,0.020884040000000006,5.3558813e-07,3.355829e-06,180144,-0.012860381,67
0.0,0.00025,1.285307e-05,2707,9.365463,220,834.0,182481,6.66492,9.926281e-06,0.02088169,6.585346e-06,3.685469e-06,183480,-0.0065218876,67
0.0,0.00025,5.3518193e-06,2749,-6.127837,224,834.0,185817,6.7341647,9.036076e-06,0.020853520000000007,1.2578939e-05,1.0193574e-05,186816,0.007748289,67
0.0,0.00025,3.4414074e-06,2793,-1.4296982,228,834.0,189153,6.3932047,6.998379e-06,0.020842970000000002,1.1017684e-06,1.4482375e-06,190152,0.013609671,68
0.1,0.00025,2.422496e-05,2832,55.51503,232,834.0,192489,7.312703,7.360472e-06,0.0798618,1.7732906e-07,1.9486957e-07,193488,0.017302493,68
0.1,0.00025,1.5451611e-05,2873,13.339436,236,834.0,195825,8.003075,1.5745813e-05,0.07981514000000002,1.6954764e-06,4.0689456e-06,196824,0.017844886,68
0.1,0.00025,4.4388457e-06,2940,-4.639086,240,834.0,199161,8.241632,3.027606e-05,0.07976861000000002,7.859834e-06,6.462085e-07,200160,0.010231935,68
0.1,0.00025,2.573273e-06,2981,3.4313335,244,834.0,202497,7.705377,2.450598e-05,0.07974479000000001,5.9123863e-07,4.1140784e-06,203496,0.00936157,68
0.1,0.00025,2.6083362e-06,3026,-19.556318,248,834.0,205833,7.566094,1.765832e-05,0.07971981000000002,1.1230331e-06,6.1913204e-07,206832,0.014476819,68
0.1,0.00025,1.8607823e-06,3069,2.8406572,252,834.0,209169,6.406151,1.8498367e-05,0.07972382,1.459438e-06,6.578176e-06,210168,0.0018030736,68
0.1,0.00025,4.175542e-06,3113,-0.72592735,256,834.0,212505,7.004445,2.0515328e-05,0.07974727,9.4028115e-07,1.3124993e-06,213504,0.0040901206,68
0.1,0.00025,8.86095e-06,3154,19.36001,260,834.0,215841,6.3294935,2.4607878e-05,0.07935601,1.1852342e-06,1.8422296e-06,216840,-0.0111331,68
0.1,0.00025,1.1872173e-05,3195,3.9944563,264,834.0,219177,5.66236,2.931813e-05,0.07937278000000002,6.2638005e-06,6.8177715e-06,220176,-0.01196583,68
0.1,0.00025,6.1709716e-06,3236,43.288536,268,834.0,222513,6.441259,3.164171e-05,0.08886614999999999,3.539538e-06,3.1239254e-06,223512,-0.018983644,69
0.1,0.00025,2.5039039e-05,3278,4.1593313,272,834.0,225849,6.2324314,3.292339e-05,0.08787876,3.6592062e-06,3.4663733e-06,226848,-0.029746434,69
